"x","y","node_label","node"
-3.46,19.5,580,"(13, 4)"
-4.33,20,581,"(13, 5)"
-5.2,19.5,582,"(13, 6)"
-6.06,20,583,"(13, 7)"
-6.93,19.5,584,"(13, 8)"
-7.79,20,585,"(13, 9)"
-8.66,19.5,586,"(13, 10)"
-9.53,20,587,"(13, 11)"
-10.39,19.5,588,"(13, 12)"
-11.26,20,589,"(13, 13)"
-12.12,19.5,590,"(13, 14)"
-12.99,20,591,"(13, 15)"
-13.86,19.5,592,"(13, 16)"
-14.72,20,593,"(13, 17)"
-15.59,19.5,594,"(13, 18)"
-16.45,20,595,"(13, 19)"
-17.32,19.5,596,"(13, 20)"
-18.19,20,597,"(13, 21)"
-19.05,19.5,598,"(13, 22)"
-19.92,20,599,"(13, 23)"
-20.78,19.5,600,"(13, 24)"
-21.65,20,601,"(13, 25)"
-22.52,19.5,602,"(13, 26)"
-23.38,20,603,"(13, 27)"
-24.25,19.5,604,"(13, 28)"
-25.11,20,605,"(13, 29)"
-25.98,19.5,606,"(13, 30)"
-26.85,20,607,"(13, 31)"
-27.71,19.5,608,"(13, 32)"
-28.58,20,609,"(13, 33)"
-29.44,19.5,610,"(13, 34)"
-30.31,20,611,"(13, 35)"
-31.18,19.5,612,"(13, 36)"
-32.04,20,613,"(13, 37)"
-32.91,19.5,614,"(13, 38)"
-33.77,20,615,"(13, 39)"
-34.64,19.5,616,"(13, 40)"
-35.51,20,617,"(13, 41)"
-36.37,19.5,618,"(13, 42)"
-37.24,20,619,"(13, 43)"
-38.11,19.5,620,"(13, 44)"
