"x","y"
"1127",1799.42,1515
"1128",1799.42,1615
"1129",1799.42,1665
"1130",1799.42,1765
"1131",1799.42,1815
"1132",1799.42,1915
"1133",1799.42,1965
"1134",1842.72,40
"1135",1842.72,90
"1136",1842.72,190
"1137",1842.72,240
"1138",1842.72,340
"1139",1842.72,390
"1140",1842.72,490
"1141",1842.72,540
"1142",1842.72,640
"1143",1842.72,690
"1144",1842.72,790
"1145",1842.72,840
"1146",1842.72,940
"1147",1842.72,990
"1148",1842.72,1090
"1149",1842.72,1140
"1150",1842.72,1240
"1151",1842.72,1290
"1152",1842.72,1390
"1153",1842.72,1440
"1154",1842.72,1540
"1155",1842.72,1590
"1156",1842.72,1690
"1157",1842.72,1740
"1158",1842.72,1840
"1159",1842.72,1890
"1160",1842.72,1990
"1161",1886.03,15
"1162",1886.03,115
"1163",1886.03,165
"1164",1886.03,265
"1165",1886.03,315
"1166",1886.03,415
"1167",1886.03,465
"1168",1886.03,565
"1169",1886.03,615
"1170",1886.03,715
"1171",1886.03,765
"1172",1886.03,865
"1173",1886.03,915
"1174",1886.03,1015
"1175",1886.03,1065
"1176",1886.03,1165
"1177",1886.03,1215
"1178",1886.03,1315
"1179",1886.03,1365
"1180",1886.03,1465
"1181",1886.03,1515
"1182",1886.03,1615
"1183",1886.03,1665
"1184",1886.03,1765
"1185",1886.03,1815
"1186",1886.03,1915
"1187",1886.03,1965
"1188",1929.33,40
"1189",1929.33,90
"1190",1929.33,190
"1191",1929.33,240
"1192",1929.33,340
"1193",1929.33,390
"1194",1929.33,490
"1195",1929.33,540
"1196",1929.33,640
"1197",1929.33,690
"1198",1929.33,790
"1199",1929.33,840
"1200",1929.33,940
"1201",1929.33,990
"1202",1929.33,1090
"1203",1929.33,1140
"1204",1929.33,1240
"1205",1929.33,1290
"1206",1929.33,1390
"1207",1929.33,1440
"1208",1929.33,1540
"1209",1929.33,1590
"1210",1929.33,1690
"1211",1929.33,1740
"1212",1929.33,1840
"1213",1929.33,1890
"1214",1929.33,1990
"1216",1972.63,115
"1217",1972.63,165
"1218",1972.63,265
"1219",1972.63,315
"1220",1972.63,415
"1221",1972.63,465
"1222",1972.63,565
"1223",1972.63,615
"1224",1972.63,715
"1225",1972.63,765
"1226",1972.63,865
"1227",1972.63,915
"1228",1972.63,1015
"1229",1972.63,1065
"1230",1972.63,1165
