x,y,node
-31.18,15.5,"(10, 36)"
-32.04,15.0,"(10, 37)"
-32.91,15.5,"(10, 38)"
-33.77,15.0,"(10, 39)"
-34.64,15.5,"(10, 40)"
-35.51,15.0,"(10, 41)"
-36.37,15.5,"(10, 42)"
-37.24,15.0,"(10, 43)"
-38.11,15.5,"(10, 44)"
-38.97,15.0,"(10, 45)"
0.0,16.5,"(11, 0)"
-0.87,17.0,"(11, 1)"
-1.73,16.5,"(11, 2)"
-2.6,17.0,"(11, 3)"
-3.46,16.5,"(11, 4)"
-4.33,17.0,"(11, 5)"
-5.2,16.5,"(11, 6)"
-6.06,17.0,"(11, 7)"
-6.93,16.5,"(11, 8)"
-7.79,17.0,"(11, 9)"
-8.66,16.5,"(11, 10)"
-9.53,17.0,"(11, 11)"
-10.39,16.5,"(11, 12)"
-11.26,17.0,"(11, 13)"
-12.12,16.5,"(11, 14)"
-12.99,17.0,"(11, 15)"
-13.86,16.5,"(11, 16)"
-14.72,17.0,"(11, 17)"
-15.59,16.5,"(11, 18)"
-16.45,17.0,"(11, 19)"
-17.32,16.5,"(11, 20)"
-18.19,17.0,"(11, 21)"
-19.05,16.5,"(11, 22)"
-19.92,17.0,"(11, 23)"
-20.78,16.5,"(11, 24)"
-21.65,17.0,"(11, 25)"
-22.52,16.5,"(11, 26)"
-23.38,17.0,"(11, 27)"
-24.25,16.5,"(11, 28)"
-25.11,17.0,"(11, 29)"
-25.98,16.5,"(11, 30)"
-26.85,17.0,"(11, 31)"
-27.71,16.5,"(11, 32)"
-28.58,17.0,"(11, 33)"
-29.44,16.5,"(11, 34)"
-30.31,17.0,"(11, 35)"
-31.18,16.5,"(11, 36)"
-32.04,17.0,"(11, 37)"
-32.91,16.5,"(11, 38)"
-33.77,17.0,"(11, 39)"
-34.64,16.5,"(11, 40)"
-35.51,17.0,"(11, 41)"
-36.37,16.5,"(11, 42)"
-37.24,17.0,"(11, 43)"
-38.11,16.5,"(11, 44)"
-38.97,17.0,"(11, 45)"
0.0,18.5,"(12, 0)"
-0.87,18.0,"(12, 1)"
-1.73,18.5,"(12, 2)"
-2.6,18.0,"(12, 3)"
-3.46,18.5,"(12, 4)"
-4.33,18.0,"(12, 5)"
-5.2,18.5,"(12, 6)"
-6.06,18.0,"(12, 7)"
-6.93,18.5,"(12, 8)"
-7.79,18.0,"(12, 9)"
-8.66,18.5,"(12, 10)"
-9.53,18.0,"(12, 11)"
-10.39,18.5,"(12, 12)"
-11.26,18.0,"(12, 13)"
-12.12,18.5,"(12, 14)"
-12.99,18.0,"(12, 15)"
-13.86,18.5,"(12, 16)"
-14.72,18.0,"(12, 17)"
-15.59,18.5,"(12, 18)"
-16.45,18.0,"(12, 19)"
-17.32,18.5,"(12, 20)"
-18.19,18.0,"(12, 21)"
-19.05,18.5,"(12, 22)"
-19.92,18.0,"(12, 23)"
-20.78,18.5,"(12, 24)"
-21.65,18.0,"(12, 25)"
-22.52,18.5,"(12, 26)"
-23.38,18.0,"(12, 27)"
-24.25,18.5,"(12, 28)"
-25.11,18.0,"(12, 29)"
-25.98,18.5,"(12, 30)"
-26.85,18.0,"(12, 31)"
-27.71,18.5,"(12, 32)"
-28.58,18.0,"(12, 33)"
-29.44,18.5,"(12, 34)"
-30.31,18.0,"(12, 35)"
-31.18,18.5,"(12, 36)"
-32.04,18.0,"(12, 37)"
-32.91,18.5,"(12, 38)"
-33.77,18.0,"(12, 39)"
-34.64,18.5,"(12, 40)"
-35.51,18.0,"(12, 41)"
-36.37,18.5,"(12, 42)"
-37.24,18.0,"(12, 43)"
-38.11,18.5,"(12, 44)"
-38.97,18.0,"(12, 45)"
0.0,19.5,"(13, 0)"
-0.87,20.0,"(13, 1)"
-1.73,19.5,"(13, 2)"
-2.6,20.0,"(13, 3)"
-3.46,19.5,"(13, 4)"
-4.33,20.0,"(13, 5)"
-5.2,19.5,"(13, 6)"
-6.06,20.0,"(13, 7)"
-6.93,19.5,"(13, 8)"
-7.79,20.0,"(13, 9)"
-8.66,19.5,"(13, 10)"
-9.53,20.0,"(13, 11)"
-10.39,19.5,"(13, 12)"
-11.26,20.0,"(13, 13)"
-12.12,19.5,"(13, 14)"
-12.99,20.0,"(13, 15)"
-13.86,19.5,"(13, 16)"
-14.72,20.0,"(13, 17)"
-15.59,19.5,"(13, 18)"
-16.45,20.0,"(13, 19)"
-17.32,19.5,"(13, 20)"
-18.19,20.0,"(13, 21)"
-19.05,19.5,"(13, 22)"
-19.92,20.0,"(13, 23)"
-20.78,19.5,"(13, 24)"
-21.65,20.0,"(13, 25)"
-22.52,19.5,"(13, 26)"
-23.38,20.0,"(13, 27)"
-24.25,19.5,"(13, 28)"
-25.11,20.0,"(13, 29)"
-25.98,19.5,"(13, 30)"
-26.85,20.0,"(13, 31)"
-27.71,19.5,"(13, 32)"
-28.58,20.0,"(13, 33)"
-29.44,19.5,"(13, 34)"
-30.31,20.0,"(13, 35)"
-31.18,19.5,"(13, 36)"
-32.04,20.0,"(13, 37)"
-32.91,19.5,"(13, 38)"
-33.77,20.0,"(13, 39)"
-34.64,19.5,"(13, 40)"
-35.51,20.0,"(13, 41)"
-36.37,19.5,"(13, 42)"
-37.24,20.0,"(13, 43)"
-38.11,19.5,"(13, 44)"
